run,noise_level,method,psnr_mean,psnr_std,ssim_mean,ssim_std,haarpsi_mean,haarpsi_std
run_01_pat_20,5.0%,FBP,15.2168,3.0233,0.0866,0.046,0.2422,0.0437
run_01_pat_20,5.0%,TV,20.4547,2.9938,0.3192,0.0989,0.3955,0.0481
run_01_pat_20,5.0%,DRUNet,22.4541,2.7332,0.517,0.052,0.4063,0.0541
run_01_pat_20,5.0%,FBPConvNet,29.8675,2.5874,0.7856,0.0739,0.5734,0.0551
run_01_pat_20,5.0%,Fixed PnP-ADMM,25.4609,3.568,0.5618,0.1615,0.4311,0.0719
run_01_pat_20,5.0%,TFPnP,27.9575,2.3297,0.7804,0.0729,0.4704,0.0364
run_01_pat_20,7.5%,FBP,14.2722,2.9321,0.0697,0.0392,0.2332,0.0417
run_01_pat_20,7.5%,TV,19.0573,2.987,0.2834,0.1056,0.351,0.0509
run_01_pat_20,7.5%,DRUNet,20.0863,2.7308,0.4756,0.0486,0.3381,0.051
run_01_pat_20,7.5%,FBPConvNet,28.2883,2.6782,0.6851,0.0865,0.5047,0.0669
run_01_pat_20,7.5%,Fixed PnP-ADMM,23.4445,3.0352,0.4457,0.1459,0.3559,0.0532
run_01_pat_20,7.5%,TFPnP,26.677,2.2694,0.7505,0.0712,0.4015,0.0331
run_01_pat_20,10.0%,FBP,13.832,2.8866,0.0637,0.0375,0.2258,0.0384
run_01_pat_20,10.0%,TV,18.1798,2.9759,0.2821,0.0934,0.3173,0.0513
run_01_pat_20,10.0%,DRUNet,18.6881,2.7006,0.4436,0.0467,0.2614,0.05
run_01_pat_20,10.0%,FBPConvNet,25.6672,2.721,0.5199,0.1215,0.3975,0.0536
run_01_pat_20,10.0%,Fixed PnP-ADMM,22.4501,2.7942,0.4155,0.1296,0.3021,0.0427
run_01_pat_20,10.0%,TFPnP,25.6639,2.0475,0.6641,0.0843,0.3645,0.027
run_02_pat_100,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_02_pat_100,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_02_pat_100,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_02_pat_100,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_02_pat_100,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_02_pat_100,5.0%,TFPnP,26.8923,1.695,0.6461,0.1324,0.4666,0.0442
run_02_pat_100,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_02_pat_100,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_02_pat_100,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_02_pat_100,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_02_pat_100,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_02_pat_100,7.5%,TFPnP,25.7804,1.5723,0.6219,0.1302,0.4005,0.0394
run_02_pat_100,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_02_pat_100,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_02_pat_100,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_02_pat_100,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_02_pat_100,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_02_pat_100,10.0%,TFPnP,24.9351,1.5019,0.6235,0.1185,0.356,0.0356
run_03_full,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_03_full,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_03_full,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_03_full,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_03_full,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_03_full,5.0%,TFPnP,25.7138,1.5538,0.5994,0.1139,0.413,0.0536
run_03_full,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_03_full,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_03_full,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_03_full,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_03_full,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_03_full,7.5%,TFPnP,24.3767,1.5044,0.5624,0.1061,0.336,0.0413
run_03_full,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_03_full,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_03_full,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_03_full,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_03_full,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_03_full,10.0%,TFPnP,23.7271,1.497,0.5514,0.106,0.3031,0.0338
run_04_pat_250_e80,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_04_pat_250_e80,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_04_pat_250_e80,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_04_pat_250_e80,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_04_pat_250_e80,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_04_pat_250_e80,5.0%,TFPnP,27.2723,1.747,0.6908,0.1321,0.4847,0.0407
run_04_pat_250_e80,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_04_pat_250_e80,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_04_pat_250_e80,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_04_pat_250_e80,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_04_pat_250_e80,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_04_pat_250_e80,7.5%,TFPnP,26.576,1.6646,0.6811,0.1305,0.4432,0.0394
run_04_pat_250_e80,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_04_pat_250_e80,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_04_pat_250_e80,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_04_pat_250_e80,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_04_pat_250_e80,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_04_pat_250_e80,10.0%,TFPnP,26.1038,1.6127,0.6761,0.1182,0.4132,0.0349
run_05_sigma_floor,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_05_sigma_floor,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_05_sigma_floor,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_05_sigma_floor,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
run_05_sigma_floor,5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
run_05_sigma_floor,5.0%,TFPnP,20.9889,1.7898,0.3645,0.0862,0.3554,0.0407
run_05_sigma_floor,7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.03
run_05_sigma_floor,7.5%,TV,18.35,2.0771,0.2714,0.0847,0.3482,0.0441
run_05_sigma_floor,7.5%,DRUNet,19.5029,1.5496,0.418,0.1059,0.3124,0.0464
run_05_sigma_floor,7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.055
run_05_sigma_floor,7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.376,0.1057,0.3355,0.041
run_05_sigma_floor,7.5%,TFPnP,19.9182,1.8656,0.3338,0.0867,0.3249,0.0435
run_05_sigma_floor,10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
run_05_sigma_floor,10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
run_05_sigma_floor,10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
run_05_sigma_floor,10.0%,FBPConvNet,24.7255,1.558,0.4626,0.0983,0.3854,0.0424
run_05_sigma_floor,10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
run_05_sigma_floor,10.0%,TFPnP,19.2339,1.93,0.3126,0.0896,0.3016,0.0445
run_06_m3_N10,5.0%,FBP,14.5599,2.0118,0.075,0.0315,0.2325,0.0325
run_06_m3_N10,5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
run_06_m3_N10,5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
run_06_m3_N10,5.0%,FBPConvNet,28.577,1.9731,0.726,0.1042,0.5555,0.0449
