noise_level,method,psnr_mean,psnr_std,ssim_mean,ssim_std,haarpsi_mean,haarpsi_std
5.0%,FBP,15.2168,3.0233,0.0866,0.0460,0.2422,0.0437
5.0%,TV,20.4547,2.9938,0.3192,0.0989,0.3955,0.0481
5.0%,DRUNet,22.4541,2.7332,0.5170,0.0520,0.4063,0.0541
5.0%,FBPConvNet,29.8675,2.5874,0.7856,0.0739,0.5734,0.0551
5.0%,Fixed PnP-ADMM,25.4609,3.5680,0.5618,0.1615,0.4311,0.0719
5.0%,TFPnP,27.9575,2.3297,0.7804,0.0729,0.4704,0.0364
7.5%,FBP,14.2722,2.9321,0.0697,0.0392,0.2332,0.0417
7.5%,TV,19.0573,2.9870,0.2834,0.1056,0.3510,0.0509
7.5%,DRUNet,20.0863,2.7308,0.4756,0.0486,0.3381,0.0510
7.5%,FBPConvNet,28.2883,2.6782,0.6851,0.0865,0.5047,0.0669
7.5%,Fixed PnP-ADMM,23.4445,3.0352,0.4457,0.1459,0.3559,0.0532
7.5%,TFPnP,26.6770,2.2694,0.7505,0.0712,0.4015,0.0331
10.0%,FBP,13.8320,2.8866,0.0637,0.0375,0.2258,0.0384
10.0%,TV,18.1798,2.9759,0.2821,0.0934,0.3173,0.0513
10.0%,DRUNet,18.6881,2.7006,0.4436,0.0467,0.2614,0.0500
10.0%,FBPConvNet,25.6672,2.7210,0.5199,0.1215,0.3975,0.0536
10.0%,Fixed PnP-ADMM,22.4501,2.7942,0.4155,0.1296,0.3021,0.0427
10.0%,TFPnP,25.6639,2.0475,0.6641,0.0843,0.3645,0.0270
