noise_level,method,psnr_mean,psnr_std,ssim_mean,ssim_std,haarpsi_mean,haarpsi_std
5.0%,FBP,14.5599,2.0118,0.0750,0.0315,0.2325,0.0325
5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
5.0%,DRUNet,21.8005,1.5159,0.4551,0.1098,0.3839,0.0525
5.0%,FBPConvNet,28.5770,1.9731,0.7260,0.1042,0.5555,0.0449
5.0%,Fixed PnP-ADMM,24.3121,2.2943,0.4994,0.1521,0.4049,0.0472
5.0%,TFPnP,26.7554,1.7697,0.6578,0.1433,0.4601,0.0469
7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.0300
7.5%,TV,18.3500,2.0771,0.2714,0.0847,0.3482,0.0441
7.5%,DRUNet,19.5029,1.5496,0.4180,0.1059,0.3124,0.0464
7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.0550
7.5%,Fixed PnP-ADMM,22.4186,1.8026,0.3760,0.1057,0.3355,0.0410
7.5%,TFPnP,25.3587,1.6093,0.6101,0.1420,0.3872,0.0467
10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
10.0%,DRUNet,18.1596,1.5702,0.3905,0.1031,0.2445,0.0452
10.0%,FBPConvNet,24.7255,1.5580,0.4626,0.0983,0.3854,0.0424
10.0%,Fixed PnP-ADMM,21.4954,1.6353,0.3398,0.0941,0.2896,0.0347
10.0%,TFPnP,24.3277,1.5847,0.5526,0.1302,0.3404,0.0368
