noise_level,method,psnr_mean,psnr_std,ssim_mean,ssim_std,haarpsi_mean,haarpsi_std
5.0%,FBP,14.5599,2.0118,0.0750,0.0315,0.2325,0.0325
5.0%,TV,19.6653,2.0586,0.2875,0.0967,0.3895,0.0407
5.0%,DRUNet,15.0919,2.0749,0.0848,0.0368,0.2386,0.0337
5.0%,FBPConvNet,28.5770,1.9731,0.7260,0.1042,0.5555,0.0449
5.0%,Fixed PnP-ADMM,15.4068,2.1417,0.1754,0.0794,0.2700,0.0319
5.0%,TFPnP,26.5086,1.7099,0.6734,0.1206,0.4449,0.0469
7.5%,FBP,13.6491,1.9314,0.0584,0.0254,0.2231,0.0300
7.5%,TV,18.3500,2.0771,0.2714,0.0847,0.3482,0.0441
7.5%,DRUNet,14.0458,1.9425,0.0630,0.0271,0.2260,0.0313
7.5%,FBPConvNet,27.1422,1.7064,0.6194,0.1071,0.4902,0.0550
7.5%,Fixed PnP-ADMM,14.9902,1.9803,0.1171,0.0624,0.2473,0.0263
7.5%,TFPnP,24.8099,1.5448,0.6151,0.1118,0.3837,0.0450
10.0%,FBP,13.2189,1.8911,0.0519,0.0233,0.2158,0.0272
10.0%,TV,17.5028,2.0271,0.2478,0.0841,0.3149,0.0445
10.0%,DRUNet,13.5552,1.8855,0.0547,0.0240,0.2172,0.0285
10.0%,FBPConvNet,24.7255,1.5580,0.4626,0.0983,0.3854,0.0424
10.0%,Fixed PnP-ADMM,14.8405,1.9173,0.0875,0.0469,0.2365,0.0241
10.0%,TFPnP,23.6494,1.4875,0.5603,0.1111,0.3377,0.0430
